population,algorithm,allowed_miss,injected_miss,totAccuracy,minHom,majHom,hetAcc
alfalfa,beagle unphased,0.1,0.01,0.744492690631374,0.190972222222222,0.991639580587537,0.271393872687973
alfalfa,beagle unphased,0.1,0.05,0.73726764234104,0.178100328739028,0.991608720182965,0.249982959690538
alfalfa,beagle unphased,0.1,0.1,0.730453325872027,0.175949302229988,0.992788406225445,0.228014041010521
alfalfa,beagle unphased,0.1,0.2,0.709187308412879,0.119330198563232,0.995657465915641,0.163762652760577
alfalfa,beagle unphased,0.2,0.01,0.749723600355941,0.202031746031746,0.991410022397597,0.275547505992435
alfalfa,beagle unphased,0.2,0.05,0.738951676707224,0.146110231677157,0.99286436648644,0.251459558379025
alfalfa,beagle unphased,0.2,0.1,0.729062849410097,0.1490218871646,0.993368902642489,0.221204472019966
alfalfa,beagle unphased,0.2,0.2,0.711772395357098,0.118616089654628,0.995570978988592,0.163779943386307
alfalfa,beagle unphased,0.4,0.01,0.741086526205792,0.149652736926457,0.992785093838192,0.233526295835993
alfalfa,beagle unphased,0.4,0.05,0.740281394638956,0.15812221562512,0.992944372113232,0.226141303789603
alfalfa,beagle unphased,0.4,0.1,0.731589421316287,0.133638965197562,0.994172317968893,0.202296073759718
alfalfa,beagle unphased,0.4,0.2,0.714116404267242,0.108042505053369,0.995951005056105,0.144926535088417
alfalfa,beagle unphased,0.7,0.01,0.739872516487232,0.113249180111337,0.992898723753189,0.2110422086234
alfalfa,beagle unphased,0.7,0.05,0.737839853691726,0.126842747059848,0.994294527607824,0.194864914825038
alfalfa,beagle unphased,0.7,0.1,0.731387497196195,0.120287142631181,0.995197462036748,0.16807228204684
alfalfa,beagle unphased,0.7,0.2,0.715208349912676,0.0924636850642135,0.996520983991588,0.117941397820515
alfalfa,beagle unphased (shuffle),0.1,0.01,0.657326340738722,0.0111111111111111,0.998303259198646,0.0102853298141267
alfalfa,beagle unphased (shuffle),0.1,0.05,0.651391071829524,0.00427996956358301,0.998720095536704,0.00842267164101111
alfalfa,beagle unphased (shuffle),0.1,0.1,0.652093377136447,0.0190519422984558,0.99876015716103,0.00856638138858215
alfalfa,beagle unphased (shuffle),0.1,0.2,0.651236391080238,0.0235010127862514,0.998995486275337,0.00377747208715871
alfalfa,beagle unphased (shuffle),0.2,0.01,0.657273348055715,0.00577200577200577,0.99896435706229,0.00980225987455526
alfalfa,beagle unphased (shuffle),0.2,0.05,0.659395307015443,0.00555843858019221,0.998650767030899,0.00738090659520455
alfalfa,beagle unphased (shuffle),0.2,0.1,0.656634526465309,0.0153452808170304,0.998585259744747,0.00556250739429526
alfalfa,beagle unphased (shuffle),0.2,0.2,0.65506649685258,0.0255957012339892,0.998841004855014,0.00281930875320361
alfalfa,beagle unphased (shuffle),0.4,0.01,0.662434458663182,0.00899425984315628,0.99898670952397,0.00539656339749388
alfalfa,beagle unphased (shuffle),0.4,0.05,0.665851642780426,0.0110873984701096,0.998665734221747,0.00480868163379361
alfalfa,beagle unphased (shuffle),0.4,0.1,0.666938263390033,0.0113284279062824,0.998915726603268,0.00355467129066482
alfalfa,beagle unphased (shuffle),0.4,0.2,0.665789352265142,0.0227586846777462,0.998867839456104,0.00196273168795376
alfalfa,beagle unphased (shuffle),0.7,0.01,0.679266305674804,0.00143056643618652,0.998810846134274,0.00311895975634376
alfalfa,beagle unphased (shuffle),0.7,0.05,0.678204446570847,0.00404225000346662,0.998896861113998,0.0021089321418776
alfalfa,beagle unphased (shuffle),0.7,0.1,0.678416881475951,0.0141332686028834,0.998757484598842,0.00190955304423239
alfalfa,beagle unphased (shuffle),0.7,0.2,0.676960319993096,0.0256507414957175,0.998528370866307,0.000743387036091814
alfalfa,kNNI,0.1,0.01,0.837173278953188,0.166245791245791,0.915564836529099,0.693921487483519
alfalfa,kNNI,0.1,0.05,0.836034292623358,0.164470969643383,0.910440222482191,0.701113760193044
alfalfa,kNNI,0.1,0.1,0.83019586799701,0.147739895753226,0.908668389439892,0.689743941403424
alfalfa,kNNI,0.1,0.2,0.824395129621363,0.140673534563437,0.906324479294675,0.674994688380187
alfalfa,kNNI,0.2,0.01,0.83706151392905,0.1526369168357,0.912282591657459,0.697055676444158
alfalfa,kNNI,0.2,0.05,0.83313053564641,0.158301082450936,0.913490396352543,0.68906335513091
alfalfa,kNNI,0.2,0.1,0.830508258957672,0.158985047555553,0.912388852530118,0.683342104870753
alfalfa,kNNI,0.2,0.2,0.82232786629806,0.138244679081387,0.908066955084337,0.665639217200331
alfalfa,kNNI,0.4,0.01,0.839018785862882,0.137569144502538,0.921528777964403,0.682223519805749
alfalfa,kNNI,0.4,0.05,0.831822060316479,0.161738532837583,0.918700419368387,0.671425464702564
alfalfa,kNNI,0.4,0.1,0.825082207589364,0.15148321440319,0.912837595419533,0.661358432257054
alfalfa,kNNI,0.4,0.2,0.816091915812746,0.13500585799297,0.908762769342256,0.642243716778214
alfalfa,kNNI,0.7,0.01,0.807472699942128,0.153315699981107,0.900304240645819,0.625375562237878
alfalfa,kNNI,0.7,0.05,0.801952034752116,0.136767191783741,0.899719914434834,0.609451897000535
alfalfa,kNNI,0.7,0.1,0.797174853639454,0.13200655768356,0.895185422608273,0.601582827278855
alfalfa,kNNI,0.7,0.2,0.783298082912968,0.113152364399247,0.886607061280738,0.575958282062974
alfalfa,MNI,0.1,0.01,0.787170911249992,0,0.888920439821019,0.59876578468783
alfalfa,MNI,0.1,0.05,0.785435624923286,0,0.885864782422894,0.596298574635319
alfalfa,MNI,0.1,0.1,0.786135223091947,0,0.88741458938161,0.598075342796262
alfalfa,MNI,0.1,0.2,0.786169457328655,0,0.88806175311042,0.59895399516518
alfalfa,MNI,0.2,0.01,0.783173156482785,0,0.884312858640236,0.599577923993982
alfalfa,MNI,0.2,0.05,0.783156435545836,0,0.885093230154962,0.594194494346889
alfalfa,MNI,0.2,0.1,0.782001457324795,0,0.884681128829997,0.593110280005167
alfalfa,MNI,0.2,0.2,0.782900346676553,0,0.88592837399881,0.591447865542458
alfalfa,MNI,0.4,0.01,0.786048161937922,0,0.889776755750302,0.58823139117378
alfalfa,MNI,0.4,0.05,0.783239980605001,0,0.887332777889083,0.586466719675059
alfalfa,MNI,0.4,0.1,0.781887150957947,0,0.884764297340777,0.58661761135671
alfalfa,MNI,0.4,0.2,0.782608212170377,0,0.886476600928502,0.584839255666219
alfalfa,MNI,0.7,0.01,0.780746833340801,0,0.883179939648386,0.576998374800458
alfalfa,MNI,0.7,0.05,0.785240488321852,0,0.890452547054197,0.57995533534211
alfalfa,MNI,0.7,0.1,0.78313108266009,0,0.88920278337436,0.574138503196164
alfalfa,MNI,0.7,0.2,0.781977264495245,0,0.88833505230664,0.572985923993899
alfalfa,RFI_pvariables,0.1,0.01,0.793057022847169,0,0.889290351857926,0.621691655886433
alfalfa,RFI_pvariables,0.1,0.05,0.805595313998497,0,0.896407526675054,0.637861886479195
alfalfa,RFI_pvariables,0.1,0.1,0.79963367295835,0,0.891806616822796,0.631565181745247
alfalfa,RFI_pvariables,0.1,0.2,0.798271286117394,0,0.892178594347746,0.624295173330319
alfalfa,RFI_pvariables,0.2,0.01,0.797456144790716,0,0.892849182394854,0.626850193109887
alfalfa,RFI_pvariables,0.2,0.05,0.798354912189335,0,0.891818140720444,0.628655916155271
alfalfa,RFI_pvariables,0.2,0.1,0.795455192445104,0,0.890681601496291,0.621241738622889
alfalfa,RFI_pvariables,0.2,0.2,0.792827708060222,0,0.888743251998789,0.617173630153545
alfalfa,RFI_pvariables,0.4,0.01,0.797314451740196,0,0.888109661324229,0.629621321805094
alfalfa,RFI_pvariables,0.4,0.05,0.794705435609729,0,0.891867954319833,0.61372400234706
alfalfa,RFI_pvariables,0.4,0.1,0.792549113981869,0,0.88985897743645,0.610823679419271
alfalfa,RFI_pvariables,0.4,0.2,0.791132365913906,0,0.888378247587256,0.609587061752159
alfalfa,RFI_pvariables,0.7,0.01,0.794280360487841,0,0.892416803298608,0.605745513719913
alfalfa,RFI_pvariables,0.7,0.05,0.790982019773316,0,0.889356595802559,0.602230664717934
alfalfa,RFI_pvariables,0.7,0.1,0.790982014131515,0.00017636684303351,0.888638117328094,0.602510160606593
alfalfa,RFI_pvariables,0.7,0.2,0.78767634119807,0,0.886012181370134,0.597014244551251
alfalfa,SVD,0.1,0.01,0.781602889534925,0.0208333333333333,0.860502119223407,0.637083813182306
alfalfa,SVD,0.1,0.05,0.784338330241389,0.0401714513556619,0.863990193165921,0.639402125843476
alfalfa,SVD,0.1,0.1,0.77941631691705,0.0323213758990765,0.860373718258643,0.630989757609253
alfalfa,SVD,0.1,0.2,0.773352105158861,0.0267599576836076,0.856733557917502,0.622018687003026
alfalfa,SVD,0.2,0.01,0.784642506689919,0.0406070549630845,0.863862097440132,0.644087554422852
alfalfa,SVD,0.2,0.05,0.779860746148346,0.0117850620013458,0.862128565892433,0.629912695453368
alfalfa,SVD,0.2,0.1,0.774326481941854,0.0245836599220058,0.860552415872567,0.617658350896341
alfalfa,SVD,0.2,0.2,0.771048750501778,0.0269415454509618,0.853674438666935,0.62080796339595
alfalfa,SVD,0.4,0.01,0.775242285818305,0.0287508261731659,0.862767562446426,0.617680498821316
alfalfa,SVD,0.4,0.05,0.773759730918421,0.0521304854579459,0.859305225249003,0.615312360813539
alfalfa,SVD,0.4,0.1,0.771658454758035,0.0525642564992409,0.858252062934642,0.609923174618424
alfalfa,SVD,0.4,0.2,0.766707917733018,0.0506479564450579,0.852232299365848,0.60768199919052
alfalfa,SVD,0.7,0.01,0.768319891141884,0.0651794884043087,0.855587599189961,0.598959724792285
alfalfa,SVD,0.7,0.05,0.767426581120818,0.0729934984033031,0.856866754080788,0.59468980642013
alfalfa,SVD,0.7,0.1,0.765747215431323,0.077973332181427,0.85416643554422,0.593577807751532
alfalfa,SVD,0.7,0.2,0.759782868830185,0.0903510504074702,0.847960122023973,0.587803985871905
rice,beagle unphased,0.1,0.01,0.99424830315696,0.9679769894535,0.997052562633044,NA
rice,beagle unphased,0.1,0.05,0.995473199576371,0.973668001231906,0.997776061148154,NA
rice,beagle unphased,0.1,0.1,0.995124858095326,0.972350297085117,0.997539141634264,NA
rice,beagle unphased,0.1,0.2,0.994430260965825,0.968266891438861,0.997198161426435,NA
rice,beagle unphased,0.2,0.01,0.99698201949929,0.980608527962288,0.998630299500653,NA
rice,beagle unphased,0.2,0.05,0.996748866008369,0.98016810298968,0.998424110041407,NA
rice,beagle unphased,0.2,0.1,0.996394736627716,0.979061400065218,0.998141047240514,NA
rice,beagle unphased,0.2,0.2,0.995807314940908,0.975455117472032,0.997855554762509,NA
rice,beagle unphased,0.4,0.01,0.997369165959006,0.986179832793039,0.998579230939553,NA
rice,beagle unphased,0.4,0.05,0.996998026521095,0.983407117413422,0.998450496777544,NA
rice,beagle unphased,0.4,0.1,0.996798318197661,0.98198126233867,0.998375433394895,NA
rice,beagle unphased,0.4,0.2,0.99589135514243,0.97649558651373,0.997958048953409,NA
rice,beagle unphased,0.7,0.01,0.996053054459182,0.977415011780545,0.998292970029893,NA
rice,beagle unphased,0.7,0.05,0.995881434822046,0.976684586221544,0.998167853380891,NA
rice,beagle unphased,0.7,0.1,0.995211694904975,0.972521092963852,0.997920017481815,NA
rice,beagle unphased,0.7,0.2,0.993412286955876,0.959488868653988,0.997455141018325,NA
rice,beagle unphased (shuffle),0.1,0.1,0.945793055377222,0.648320378893493,0.977400889191915,NA
rice,beagle unphased (shuffle),0.1,0.2,0.942290526215358,0.617622793553338,0.976621772001919,NA
rice,beagle unphased (shuffle),0.2,0.1,0.94629597803288,0.632617816579081,0.978141147820999,NA
rice,beagle unphased (shuffle),0.2,0.2,0.942529963456582,0.595936770578008,0.977537032372816,NA
rice,beagle unphased (shuffle),0.4,0.1,0.939114360746918,0.588319819357487,0.97650022971071,NA
rice,beagle unphased (shuffle),0.4,0.2,0.93516137376517,0.544702524397956,0.97676786900791,NA
rice,beagle unphased (shuffle),0.7,0.01,0.927273319437207,0.519907281156259,0.975655870445344,NA
rice,beagle unphased (shuffle),0.7,0.05,0.925267399546144,0.502682724867547,0.97571057770349,NA
rice,beagle unphased (shuffle),0.7,0.1,0.923729403240963,0.482451058325811,0.976318413472191,NA
rice,beagle unphased (shuffle),0.7,0.2,0.920361335784507,0.430986067180086,0.978635510707486,NA
rice,kNNI,0.1,0.01,0.986150151715408,0.908509788254095,0.994128877301747,NA
rice,kNNI,0.1,0.05,0.984571466409647,0.897554099359951,0.993871800509801,NA
rice,kNNI,0.1,0.1,0.983706437094449,0.890465674507921,0.993551932291234,NA
rice,kNNI,0.2,0.01,0.986515509615667,0.915754807181557,0.993711914948788,NA
rice,kNNI,0.2,0.05,0.984898683540053,0.908577014620877,0.992619600946789,NA
rice,kNNI,0.2,0.1,0.98307011866657,0.897376255054897,0.991713887498722,NA
rice,kNNI,0.2,0.2,0.977674600078034,0.86585248991152,0.98895177717574,NA
rice,kNNI,0.4,0.01,0.981229292940486,0.902281434044256,0.989699702463115,NA
rice,kNNI,0.4,0.05,0.979473171460361,0.895232556813647,0.988452394842775,NA
rice,MNI,0.1,0.01,0.903314099718893,0.00153491941673062,0.999508800654932,NA
rice,MNI,0.1,0.05,0.904641912728818,0.00296108291032149,0.999558758045581,NA
rice,MNI,0.1,0.1,0.904097820480107,0.00558498387839705,0.999127167618325,NA
rice,MNI,0.1,0.2,0.904413626572036,0.0120344943874356,0.998324888486448,NA
rice,MNI,0.2,0.01,0.907379480962378,0.00181662748450524,0.999391958653188,NA
rice,MNI,0.2,0.05,0.907647374847375,0.00489946551285314,0.999233958861869,NA
rice,MNI,0.2,0.1,0.907867628248316,0.00805696283366682,0.998755093045507,NA
rice,MNI,0.2,0.2,0.907785496421216,0.00932501141079939,0.998749611100573,NA
rice,MNI,0.4,0.01,0.903910279210386,0.00133379726281605,0.999575885722715,NA
rice,MNI,0.4,0.05,0.903108698446035,0.00419795221843003,0.999176880681742,NA
rice,MNI,0.4,0.1,0.903561843642209,0.00706677415481724,0.998820803433218,NA
rice,MNI,0.4,0.2,0.90333421487821,0.0101816627484505,0.998480355267803,NA
rice,MNI,0.7,0.01,0.892771018802241,0.0016657601305412,0.999175965804611,NA
rice,MNI,0.7,0.05,0.893093816511464,0.0062209766730298,0.998574156731655,NA
rice,MNI,0.7,0.1,0.892923694669612,0.00882944224999242,0.998347615848593,NA
rice,MNI,0.7,0.2,0.892964145893572,0.0126763976346815,0.997873198937422,NA
rice,RFI_pvariables,0.1,0.01,0.981619610659889,0.868364767645343,0.993469504007812,NA
rice,RFI_pvariables,0.1,0.05,0.979313230064626,0.843107594445737,0.99354710572289,NA
